"79";"5455001";"Zennor";"zennor";"2635542"
"79";"5455002";"Zelah";"zelah";"2633325"
"79";"5455003";"Zeals";"zeals";"2633326"
"79";"5455004";"Zeal Monachorum";"zeal monachorum";"2633327"
"79";"5455005";"Ythsie";"ythsie";"11983621"
"79";"5455006";"Ystradowen";"ystradowen";"2640455"
"79";"5455007";"Ystrad Mynach";"ystrad mynach";"2648728"
"79";"5455008";"Ystrad-Meurig";"ystrad-meurig";"2633333"
"79";"5455009";"Ystradgynlais";"ystradgynlais";"6692733"
"79";"5455010";"Ystrad-ffin";"ystrad-ffin";"2651634"
"79";"5455011";"Ystradfellte";"ystradfellte";"2640124"
"79";"5455012";"Ystalyfera";"ystalyfera";"2633337"
"79";"5455013";"Yspytty-Ystwyth";"yspytty-ystwyth";"2644195"
"79";"5455014";"Ysbyty Ifan";"ysbyty ifan";"2633339"
"79";"5455015";"Yspytty Cynfyn";"yspytty cynfyn";"2650593"
"79";"5455016";"Yoxford";"yoxford";"2633344"
"79";"5455017";"Yoxall";"yoxall";"2633345"
"79";"5455018";"Youlgreave";"youlgreave";"2633346"
"79";"5455019";"Yorton";"yorton";"2641934"
"79";"5455020";"York";"york";"12105022"
"79";"5455021";"Yokefleet";"yokefleet";"2655440"
"79";"5455022";"Yockleton";"yockleton";"2633355"
"79";"5455023";"Yiewsley";"yiewsley";"12048047"
"79";"5455024";"Yetminster";"yetminster";"2633366"
"79";"5455025";"Yetlington";"yetlington";"2653991"
"79";"5455026";"Yerbeston";"yerbeston";"3345138"
"79";"5455027";"Yeovilton";"yeovilton";"6693560"
"79";"5455028";"Yeovil";"yeovil";"2633373"
"79";"5455029";"Yeoford";"yeoford";"2633375"
"79";"5455030";"Yelverton";"yelverton";"12253626"
"79";"5455031";"Yelverton";"yelverton";"12195558"
"79";"5455032";"Yelvertoft";"yelvertoft";"2633383"
"79";"5455033";"Yelling";"yelling";"2633385"
"79";"5455034";"Yelford";"yelford";"2633388"
"79";"5455035";"Yelden";"yelden";"2642795"
"79";"5455036";"Yedingham";"yedingham";"2650289"
"79";"5455037";"Yeaveley";"yeaveley";"2633392"
"79";"5455038";"Yearby";"yearby";"6640029"
"79";"5455039";"Yealmpton";"yealmpton";"2633394"
"79";"5455040";"Yeadon";"yeadon";"11776852"
"79";"5455041";"Yazor";"yazor";"2642280"
"79";"5455042";"Yaxley";"yaxley";"11902774"
"79";"5455043";"Yaxley";"yaxley";"12188581"
"79";"5455044";"Yaxham";"yaxham";"2633401"
"79";"5455045";"Yatton Keynell";"yatton keynell";"2633402"
"79";"5455046";"Yatton";"yatton";"10100289"
"79";"5455047";"Yatton";"yatton";"2654608"
"79";"5455048";"Yatesbury";"yatesbury";"2653253"
"79";"5455049";"Yate";"yate";"2633406"
"79";"5455050";"Yarrow";"yarrow";"11592441"
"79";"5455051";"Yarpole";"yarpole";"2633411"
"79";"5455052";"Yarnton";"yarnton";"2633412"
"79";"5455053";"Yarmouth";"yarmouth";"2633414"
"79";"5455054";"Yarm";"yarm";"2633415"
"79";"5455055";"Yarlington";"yarlington";"2633416"
"79";"5455056";"Yardley Hastings";"yardley hastings";"2633418"
"79";"5455057";"Yardley";"yardley";"12076699"
"79";"5455058";"Yarcombe";"yarcombe";"2633420"
"79";"5455059";"Yarburgh";"yarburgh";"2652223"
"79";"5455060";"Yapton";"yapton";"2633422"
"79";"5455061";"Yanworth";"yanworth";"2633423"
"79";"5455062";"Yalding";"yalding";"2633424"
"79";"5455063";"Yafforth";"yafforth";"2633426"
"79";"5455064";"Wyverstone";"wyverstone";"2633429"
"79";"5455065";"Wyton";"wyton";"12225594"
"79";"5455066";"Wyton";"wyton";"11902774"
"79";"5455067";"Wythenshawe";"wythenshawe";"7281603"
"79";"5455068";"Wythburn";"wythburn";"2633433"
"79";"5455069";"Wytham";"wytham";"2633434"
"79";"5455070";"Wysall";"wysall";"2633435"
"79";"5455071";"Wraysbury";"wraysbury";"2633443"
"79";"5455072";"Wynnstay";"wynnstay";"2647713"
"79";"5455073";"Wymondham";"wymondham";"12195848"
"79";"5455074";"Wymondham";"wymondham";"12253626"
"79";"5455075";"Wymington";"wymington";"2633447"
"79";"5455076";"Wymeswold";"wymeswold";"2633448"
"79";"5455077";"Wylye";"wylye";"2649373"
"79";"5455078";"Wylde Green";"wylde green";"12076699"
"79";"5455079";"Wylam";"wylam";"2633453"
"79";"5455080";"Wyke Regis";"wyke regis";"8354655"
"79";"5455081";"Wyken";"wyken";"9883983"
"79";"5455082";"Wykeham";"wykeham";"6947760"
